date,home_sigla,home_team,away_sigla,away_team,home_score,away_score
2003-02-04,MEX,Mexico,ARG,Argentina,0,1
2003-02-04,URU,Uruguay,IRN,Iran,1,1
2003-02-08,USA,United States,ARG,Argentina,0,1
2003-02-12,ALG,Algeria,BEL,Belgium,1,3
2003-02-12,ENG,England,AUS,Australia,1,3
2003-02-12,FRA,France,CZE,Czech Republic,0,2
2003-02-12,MEX,Mexico,COL,Colombia,0,0
2003-02-12,MAR,Morocco,SEN,Senegal,1,0
2003-02-12,NED,Netherlands,ARG,Argentina,1,0
2003-02-12,ESP,Spain,GER,Germany,3,1
2003-02-12,TUN,Tunisia,SWE,Sweden,1,0
2003-02-16,QAT,Qatar,SWE,Sweden,2,3
2003-03-19,EGY,Egypt,QAT,Qatar,6,0
2003-03-26,MEX,Mexico,PAR,Paraguay,1,1
2003-03-27,TUN,Tunisia,GHA,Ghana,2,2
2003-03-28,JPN,Japan,URU,Uruguay,2,2
2003-03-29,CRO,Croatia,BEL,Belgium,4,0
2003-03-29,KOR,South Korea,COL,Colombia,0,0
2003-03-29,NED,Netherlands,CZE,Czech Republic,1,1
2003-03-29,POR,Portugal,BRA,Brazil,2,1
2003-04-02,CZE,Czech Republic,AUT,Austria,4,0
2003-04-02,ENG,England,TUR,Turkey,2,0
2003-04-16,KOR,South Korea,JPN,Japan,0,1
2003-04-30,CZE,Czech Republic,TUR,Turkey,4,0
2003-04-30,FRA,France,EGY,Egypt,5,0
2003-04-30,MEX,Mexico,BRA,Brazil,0,0
2003-04-30,MAR,Morocco,CIV,Ivory Coast,0,1
2003-04-30,NED,Netherlands,POR,Portugal,1,1
2003-04-30,SCO,Scotland,AUT,Austria,0,2
2003-04-30,ESP,Spain,ECU,Ecuador,4,0
2003-04-30,SWE,Sweden,CRO,Croatia,1,2
2003-04-30,TUN,Tunisia,SEN,Senegal,1,0
2003-05-08,USA,United States,MEX,Mexico,0,0
2003-05-22,RSA,South Africa,ENG,England,1,2
2003-05-27,SCO,Scotland,NZL,New Zealand,1,1
2003-05-31,JPN,Japan,KOR,South Korea,0,1
2003-05-31,SEN,Senegal,CPV,Cape Verde,2,1
2003-06-01,GER,Germany,CAN,Canada,4,1
2003-06-06,POR,Portugal,PAR,Paraguay,0,0
2003-06-07,SCO,Scotland,GER,Germany,1,1
2003-06-08,COL,Colombia,ECU,Ecuador,0,0
2003-06-08,JPN,Japan,ARG,Argentina,1,4
2003-06-08,KOR,South Korea,URU,Uruguay,0,2
2003-06-08,USA,United States,NZL,New Zealand,2,1
2003-06-11,JPN,Japan,PAR,Paraguay,0,0
2003-06-11,KOR,South Korea,ARG,Argentina,0,1
2003-06-18,FRA,France,COL,Colombia,1,0
2003-06-18,NZL,New Zealand,JPN,Japan,0,3
2003-06-19,TUR,Turkey,USA,United States,2,1
2003-06-20,COL,Colombia,NZL,New Zealand,3,1
2003-06-20,FRA,France,JPN,Japan,2,1
2003-06-21,BRA,Brazil,USA,United States,1,0
2003-06-22,FRA,France,NZL,New Zealand,5,0
2003-06-22,JPN,Japan,COL,Colombia,0,1
2003-06-22,RSA,South Africa,CIV,Ivory Coast,2,1
2003-06-23,BRA,Brazil,TUR,Turkey,2,2
2003-06-26,FRA,France,TUR,Turkey,3,2
2003-06-28,COL,Colombia,TUR,Turkey,1,2
2003-07-06,USA,United States,PAR,Paraguay,2,0
2003-07-13,MEX,Mexico,BRA,Brazil,1,0
2003-07-16,ARG,Argentina,URU,Uruguay,2,2
2003-07-19,COL,Colombia,BRA,Brazil,0,2
2003-07-23,USA,United States,BRA,Brazil,1,2
2003-07-27,MEX,Mexico,BRA,Brazil,1,0
2003-08-13,IRN,Iran,IRQ,Iraq,0,1
2003-08-15,IRQ,Iraq,URU,Uruguay,2,5
2003-08-20,ARG,Argentina,URU,Uruguay,3,2
